,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,커피빈 매장수,브랜드명
14,서울특별시,강남구,커피빈,코리아대치한티점,127.05415180863999,37.498291685952,서울특별시 강남구 선릉로64길 23,서울 강남,1,커피빈
15,서울특별시,서초구,커피빈,코리아삼성생명강남사옥점,127.025683828146,37.4967357683727,서울특별시 서초구 서초대로74길 4,서울 서초,1,커피빈
16,서울특별시,강남구,커피빈,코리아공항터미널2호점,127.059426824816,37.509624041536796,서울특별시 강남구 테헤란로87길 22,서울 강남,1,커피빈
17,서울특별시,서초구,커피빈코리아서초우성아파트앞점,코리아서초우성아파트앞점,127.028336934523,37.492720890857704,서울특별시 서초구 사임당로 171,서울 서초,1,커피빈
18,서울특별시,강남구,커피빈코리아강남구청앞점,코리아강남구청앞점,127.04661269709699,37.5184147126149,서울특별시 강남구 학동로 423,서울 강남,1,커피빈
19,서울특별시,서대문구,커피빈,코리아신촌대로점,126.93855689045,37.5559675754759,서울특별시 서대문구 신촌로 113,서울 서대문,1,커피빈
20,서울특별시,강남구,커피빈,코리아테헤란로비젼타워점,127.045033948395,37.5029308525436,서울특별시 강남구 테헤란로 312,서울 강남,1,커피빈
21,서울특별시,관악구,커피빈코리아신림점,코리아신림점,126.930369254436,37.4826026900191,서울특별시 관악구 신림로 318,서울 관악,1,커피빈
22,서울특별시,강남구,커피빈코리아신사점,코리아신사점,127.02238935035,37.5169552228844,서울특별시 강남구 도산대로 126,서울 강남,1,커피빈
23,서울특별시,서초구,커피빈,코리아서초우성점,127.030244120753,37.4912768507143,서울특별시 서초구 강남대로51길 1,서울 서초,1,커피빈
24,서울특별시,양천구,커피빈,코리아목동점,126.875752563272,37.5281659049786,서울특별시 양천구 목동동로 293,서울 양천,1,커피빈
25,서울특별시,강남구,커피빈,코리아테헤란로하이닉스뒷점,127.05314307701299,37.504735168954,서울특별시 강남구 테헤란로70길 12,서울 강남,1,커피빈
26,서울특별시,서초구,커피빈,코리아강남에스점,127.02579578825001,37.500304869454006,서울특별시 서초구 강남대로 423,서울 서초,1,커피빈
27,서울특별시,성북구,커피빈,코리아고대안암역점,127.029558656269,37.5869806658445,서울특별시 성북구 개운사길 8,서울 성북,1,커피빈
28,서울특별시,서대문구,커피빈,코리아신촌점,126.93728406837499,37.556334562389104,서울특별시 서대문구 연세로 8-1,서울 서대문,1,커피빈
29,서울특별시,용산구,커피빈코리아이태원점,코리아이태원점,126.994898468403,37.5348445682058,서울특별시 용산구 이태원로 189,서울 용산,1,커피빈
30,서울특별시,중구,커피빈,코리아시청역7번출구점,126.97715929531799,37.5636518048491,서울특별시 중구 세종대로 84,서울 중구,1,커피빈
31,서울특별시,강남구,커피빈,차병원사거리점,127.03464470425199,37.5078382482953,서울특별시 강남구 봉은사로 207,서울 강남,1,커피빈
32,서울특별시,은평구,커피빈치,-,126.921048245303,37.5983197298652,서울특별시 은평구 응암로 302-1,서울 은평,1,커피빈
33,서울특별시,구로구,커피빈,코리아구로지밸리몰점,126.89652780139,37.4849135072657,서울특별시 구로구 디지털로 300,서울 구로,1,커피빈
34,서울특별시,강남구,커피빈,코리아논현동수면세터점,127.029517689597,37.5159507677051,서울특별시 강남구 논현로 717,서울 강남,1,커피빈
35,서울특별시,영등포구,커피빈,-,126.887489608661,37.52479904097871,서울특별시 영등포구 영등포로9길 46,서울 영등포,1,커피빈
36,서울특별시,강동구,커피빈,코리아현대자동차성내점,127.133218679549,37.5351929599763,서울특별시 강동구 천호대로 1096,서울 강동,1,커피빈
37,서울특별시,관악구,커피빈코리아낙성대역점,코리아낙성대역점,126.96159324063801,37.4781056688261,서울특별시 관악구 남부순환로 1909,서울 관악,1,커피빈
38,서울특별시,강남구,커피빈,코리아역삼포스틸타워뒷점,127.03412419342101,37.4990757403139,서울특별시 강남구 테헤란로20길 10,서울 강남,1,커피빈
39,서울특별시,양천구,커피빈코리아오목교역사거리점,코리아오목교역사거리점,126.87625414675101,37.5241430317764,서울특별시 양천구 오목로 350,서울 양천,1,커피빈
40,서울특별시,종로구,커피빈,코리아하나은행경복궁역점,126.97330856353999,37.575358939549396,서울특별시 종로구 사직로 130,서울 종로,1,커피빈
41,서울특별시,금천구,커피빈,코리아시흥홈플러스점,126.900776713123,37.4518935872289,서울특별시 금천구 시흥대로 201,서울 금천,1,커피빈
42,서울특별시,금천구,커피빈,코리아마리오아울렛점,126.88646603159701,37.4787100009043,서울특별시 금천구 디지털로9길 23,서울 금천,1,커피빈
43,부산광역시,해운대구,커피빈,코리아부산장산역점,129.178573776255,35.169699726351,부산광역시 해운대구 세실로 48,부산 해운대,1,커피빈
44,서울특별시,중구,커피빈,코리아을지로입구역점,126.983227937665,37.566866884039605,서울특별시 중구 남대문로10길 6,서울 중구,1,커피빈
45,서울특별시,구로구,커피빈코리아구로디지털단지점,코리아구로디지털단지점,126.894088426936,37.483944598211295,서울특별시 구로구 디지털로 273,서울 구로,1,커피빈
46,서울특별시,영등포구,커피빈,코리아여의도교보증권점,126.92457332308099,37.5225024956653,서울특별시 영등포구 의사당대로 97,서울 영등포,1,커피빈
47,서울특별시,용산구,커피빈,코리아이태원제일기획옆점,126.998463192105,37.5348027710382,서울특별시 용산구 이태원로 220,서울 용산,1,커피빈
48,서울특별시,강동구,커피빈코리아천호현대백화점옆,-,127.12519757952101,37.538963301202,서울특별시 강동구 천호대로 1015-14,서울 강동,1,커피빈
49,서울특별시,종로구,커피빈,코리아세종문화회관옆점,126.97546930041901,37.5713410523375,서울특별시 종로구 새문안로9길 25,서울 종로,1,커피빈
50,서울특별시,영등포구,커피빈,코리아여의도중앙점,126.920093467271,37.5287779300589,서울특별시 영등포구 국회대로68길 17,서울 영등포,1,커피빈
51,서울특별시,서초구,커피빈코리아방배역점,코리아방배역점,126.996925642159,37.481456482557604,서울특별시 서초구 효령로 117,서울 서초,1,커피빈
52,서울특별시,강남구,커피빈,코리아압구정현대아파트점,127.026981632115,37.5317974156021,서울특별시 강남구 압구정로29길 65,서울 강남,1,커피빈
53,서울특별시,광진구,커피빈건대스타시티점,코리아건대스타시티점,127.070902015585,37.538350363970004,서울특별시 광진구 능동로 90,서울 광진,1,커피빈
54,서울특별시,서초구,커피빈,코리아강남대로점,127.028197228786,37.4956481730487,서울특별시 서초구 강남대로 369,서울 서초,1,커피빈
55,서울특별시,서대문구,커피빈,신촌역앞점,126.943118057552,37.5583692188785,서울특별시 서대문구 신촌역로 20,서울 서대문,1,커피빈
56,서울특별시,강남구,커피빈코리아역삼점,코리아역삼점,127.036502483304,37.502338961594,서울특별시 강남구 논현로 512,서울 강남,1,커피빈
57,서울특별시,강동구,커피빈,코리아천호동행복빌딩점,127.127074087312,37.5400944963541,서울특별시 강동구 구천면로 202,서울 강동,1,커피빈
58,서울특별시,강서구,커피빈,코리아강서홈플러스점,126.854800245129,37.5584556189768,서울특별시 강서구 화곡로 398,서울 강서,1,커피빈
59,서울특별시,강남구,커피빈코리아테헤란로비,-,127.045033948395,37.5029308525436,서울특별시 강남구 테헤란로 312,서울 강남,1,커피빈
60,서울특별시,중랑구,커피빈,코리아상봉엔터식스점,127.091605360196,37.5983230687909,서울특별시 중랑구 망우로 353,서울 중랑,1,커피빈
61,서울특별시,중구,커피빈코리아CBTL서울,-,126.973739611968,37.5554947274348,서울특별시 중구 한강대로 416,서울 중구,1,커피빈
62,서울특별시,강남구,커피빈코리아테헤란로하이,-,127.05314307701299,37.504735168954,서울특별시 강남구 테헤란로70길 12,서울 강남,1,커피빈
63,서울특별시,강남구,커피빈코리아역삼역4,-,127.034884401544,37.50064077948029,서울특별시 강남구 테헤란로 143,서울 강남,1,커피빈
64,서울특별시,강동구,커피빈코리아올림픽공원북,-,127.12825279632901,37.5243797641886,서울특별시 강동구 강동대로 195,서울 강동,1,커피빈
65,서울특별시,종로구,커피빈,코리아대학로마로니에점,127.00369276133999,37.5813949682234,서울특별시 종로구 대학로12길 62,서울 종로,1,커피빈
66,서울특별시,강남구,커피빈코리아압구정로데오,-,127.03899126085301,37.5261110066291,서울특별시 강남구 선릉로157길 12,서울 강남,1,커피빈
67,서울특별시,강남구,커피빈,삼성봉은사거리점,127.059466773108,37.51455313194021,서울특별시 강남구 영동대로 607,서울 강남,1,커피빈
68,서울특별시,영등포구,커피빈코리아MBC경영센터,-,126.92949134082501,37.5227183747898,서울특별시 영등포구 국제금융로 52,서울 영등포,1,커피빈
69,서울특별시,마포구,커피빈코리아상암동SBS,-,126.892752778902,37.57970364147779,서울특별시 마포구 상암산로 82,서울 마포,1,커피빈
70,서울특별시,영등포구,커피빈,타임스퀘어B1점,126.903914224263,37.517212666105706,서울특별시 영등포구 영중로 15,서울 영등포,1,커피빈
71,서울특별시,중구,커피빈,코리아남대문점,126.974027761069,37.554289834272105,서울특별시 중구 후암로 110,서울 중구,1,커피빈
72,서울특별시,영등포구,커피빈코리아여의도교보증,-,126.92457332308099,37.5225024956653,서울특별시 영등포구 의사당대로 97,서울 영등포,1,커피빈
73,서울특별시,강남구,커피빈코리아압구정에스점,코리아압구정에스점,127.036893070846,37.5282744591627,서울특별시 강남구 압구정로46길 3,서울 강남,1,커피빈
