,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,스타벅스 매장수,브랜드명
61,서울특별시,중구,스타벅스,남산단암점,126.975395770913,37.5585276043331,서울특별시 중구 소월로 10,서울 중구,1,스타벅스
62,서울특별시,서초구,스타벅스,내방역점,126.99245761598,37.4900145248382,서울특별시 서초구 방배로 184,서울 서초,1,스타벅스
63,서울특별시,성북구,스타벅스,고대안암병원점,127.031701809695,37.5884849860916,서울특별시 성북구 안암로 145,서울 성북,1,스타벅스
64,서울특별시,송파구,스타벅스,잠실역점,127.099535260634,37.51532493727071,서울특별시 송파구 송파대로 562,서울 송파,1,스타벅스
65,서울특별시,강동구,스타벅스올림픽공원북문점,올림픽공원북문점,127.12593214503599,37.5254709132425,서울특별시 강동구 강동대로 171,서울 강동,1,스타벅스
66,서울특별시,영등포구,스타벅스커피여의도호성,커피여의도호성점,126.92927506344101,37.5204367716676,서울특별시 영등포구 여의대방로65길 24,서울 영등포,1,스타벅스
67,서울특별시,서대문구,스타벅스충정타워,충정타워점,126.964069882556,37.5598884579046,서울특별시 서대문구 서소문로 21,서울 서대문,1,스타벅스
68,부산광역시,남구,스타벅스,BIFC몰점,129.065885085962,35.1465053091219,부산광역시 남구 문현금융로 40,부산 남구,1,스타벅스
69,서울특별시,서초구,스타벅스방배카페입구,방배카페입구점,126.985676893834,37.4972370082012,서울특별시 서초구 방배중앙로 204,서울 서초,1,스타벅스
70,서울특별시,서초구,스타벅스이수역점,이수역점,126.98268993664401,37.4864978042431,서울특별시 서초구 동작대로 112,서울 서초,1,스타벅스
71,서울특별시,강남구,스타벅스,삼성현대힐점,127.052704674305,37.5134718899824,서울특별시 강남구 삼성로 605,서울 강남,1,스타벅스
72,서울특별시,강남구,스타벅스,수서점,127.101842066177,37.488013362892396,서울특별시 강남구 밤고개로1길 10,서울 강남,1,스타벅스
73,부산광역시,수영구,스타벅스,남천점,129.114207648607,35.1483240681641,부산광역시 수영구 남천바다로 38,부산 수영,1,스타벅스
74,서울특별시,금천구,스타벅스W-MALL점,W-MALL점,126.88766254860799,37.4773156374838,서울특별시 금천구 디지털로 188,서울 금천,1,스타벅스
75,부산광역시,동래구,스타벅스,부산안락DT점,129.10688496437598,35.1959122197564,부산광역시 동래구 충렬대로 446,부산 동래,1,스타벅스
76,부산광역시,북구,스타벅스,부산화명역점,129.01321456748698,35.2336891168998,부산광역시 북구 금곡대로285번길 5,부산 북구,1,스타벅스
77,서울특별시,중구,스타벅스,을지로입구역점,126.983312623474,37.5656331860355,서울특별시 중구 을지로 50,서울 중구,1,스타벅스
78,서울특별시,강남구,스타벅스,서울세관사거리점,127.035741342646,37.5149114670439,서울특별시 강남구 언주로 650,서울 강남,1,스타벅스
79,부산광역시,금정구,스타벅스,부산대역점,129.088756366931,35.2305273611084,부산광역시 금정구 장전로12번길 64,부산 금정,1,스타벅스
80,부산광역시,동구,스타벅스,범일교차로점,129.063806565928,35.1377349832092,부산광역시 동구 조방로 4,부산 동구,1,스타벅스
81,서울특별시,종로구,스타벅스,북촌로점,126.98645348123699,37.579437112041,서울특별시 종로구 북촌로4길 23,서울 종로,1,스타벅스
82,서울특별시,강남구,스타벅스,역삼포스코점,127.03379242321199,37.4993703754632,서울특별시 강남구 테헤란로 134,서울 강남,1,스타벅스
83,서울특별시,용산구,스타벅스용산역점,용산역점,126.963222625326,37.527902979157,서울특별시 용산구 한강대로21나길 7,서울 용산,1,스타벅스
84,부산광역시,부산진구,스타벅스,서면전포역점,129.063616002244,35.1542952546818,부산광역시 부산진구 전포대로199번길 27,부산 부산진,1,스타벅스
85,서울특별시,마포구,스타벅스마포일진빌딩점,마포일진빌딩점,126.946358128038,37.5404674503959,서울특별시 마포구 마포대로 45,서울 마포,1,스타벅스
86,서울특별시,강동구,스타벅스천호로데오점,천호로데오점,127.12731542401,37.537834630463706,서울특별시 강동구 천호대로 1037,서울 강동,1,스타벅스
87,서울특별시,광진구,스타벅스,자양점,127.06915882226299,37.5356695214728,서울특별시 광진구 능동로 50,서울 광진,1,스타벅스
88,서울특별시,서초구,스타벅스,신논현역점,127.023626959081,37.5053148456229,서울특별시 서초구 강남대로 483,서울 서초,1,스타벅스
89,부산광역시,동래구,스타벅스,부산사직점,129.060561433144,35.1979853362218,부산광역시 동래구 사직북로 24,부산 동래,1,스타벅스
90,서울특별시,노원구,스타벅스중계역점,중계역점,127.06215871021001,37.6481544698442,서울특별시 노원구 동일로 1339,서울 노원,1,스타벅스
91,서울특별시,중구,스타벅스명동메트로,명동메트로점,126.983715734748,37.56512306293929,서울특별시 중구 명동9가길 14,서울 중구,1,스타벅스
92,부산광역시,중구,스타벅스,피프광장점,129.028040761744,35.0989679423748,부산광역시 중구 비프광장로 25,부산 중구,1,스타벅스
93,서울특별시,강북구,스타벅스,수유역점,127.026107842176,37.638023076730704,서울특별시 강북구 도봉로 342,서울 강북,1,스타벅스
94,서울특별시,서대문구,스타벅스,신촌아트레온점,126.94031422834,37.5565510166296,서울특별시 서대문구 신촌로 129,서울 서대문,1,스타벅스
95,서울특별시,서초구,스타벅스,서래마을입구점,126.998542320991,37.4992570081851,서울특별시 서초구 서래로 48,서울 서초,1,스타벅스
96,서울특별시,동대문구,스타벅스,장한평역점,127.065476564871,37.562347565345995,서울특별시 동대문구 장한로 10,서울 동대문,1,스타벅스
97,서울특별시,강남구,스타벅스,한솔빌딩점,127.034941231236,37.49974018840009,서울특별시 강남구 테헤란로 142,서울 강남,1,스타벅스
98,서울특별시,서초구,스타벅스,서울아트센터점,127.012347140463,37.4806673259512,서울특별시 서초구 남부순환로 2395,서울 서초,1,스타벅스
99,서울특별시,마포구,스타벅스마포아크로타워점,마포아크로타워점,126.949139204869,37.5414563490381,서울특별시 마포구 마포대로 68,서울 마포,1,스타벅스
100,서울특별시,종로구,스타벅스,대명거리점,127.001139623548,37.58351786796671,서울특별시 종로구 대명길 5,서울 종로,1,스타벅스
101,부산광역시,북구,스타벅스,부산덕천역점,129.008502470617,35.2106799840775,부산광역시 북구 만덕대로 30,부산 북구,1,스타벅스
102,부산광역시,사하구,스타벅스,부산괴정역점,128.994252485597,35.098402408862704,부산광역시 사하구 사하로186번길 6,부산 사하,1,스타벅스
103,부산광역시,해운대구,스타벅스,해운대이마트점,129.167401483699,35.1660401471884,부산광역시 해운대구 좌동순환로 511,부산 해운대,1,스타벅스
104,서울특별시,서초구,스타벅스남부터미널2점,남부터미널2점,127.014197798445,37.4843861241449,서울특별시 서초구 효령로 274,서울 서초,1,스타벅스
105,서울특별시,종로구,스타벅스,동숭로아트점,127.00388696534999,37.5829644184897,서울특별시 종로구 동숭길 110,서울 종로,1,스타벅스
106,서울특별시,구로구,스타벅스구로디지털로점,구로디지털로점,126.89549862342399,37.4856968115932,서울특별시 구로구 디지털로33길 11,서울 구로,1,스타벅스
107,서울특별시,서초구,스타벅스,파미에파크점,127.007826111215,37.504480361962706,서울특별시 서초구 사평대로 205,서울 서초,1,스타벅스
108,서울특별시,강남구,스타벅스,가로수길점,127.021629292234,37.5231842055575,서울특별시 강남구 논현로175길 94,서울 강남,1,스타벅스
109,서울특별시,영등포구,스타벅스,당산점,126.899952047656,37.5351335863576,서울특별시 영등포구 양평로 64,서울 영등포,1,스타벅스
110,서울특별시,강남구,스타벅스,청담점,127.051571721037,37.52433851643779,서울특별시 강남구 도산대로 532,서울 강남,1,스타벅스
111,서울특별시,서초구,스타벅스,뉴코아강남점,127.006957982903,37.5102488124166,서울특별시 서초구 잠원로 69,서울 서초,1,스타벅스
112,서울특별시,중랑구,스타벅스중랑구청점,중랑구청점,127.095653136278,37.605400319519,서울특별시 중랑구 신내로 72,서울 중랑,1,스타벅스
113,서울특별시,강서구,스타벅스,발산역점,126.839290175551,37.5601782971845,서울특별시 강서구 강서로 388,서울 강서,1,스타벅스
114,서울특별시,종로구,스타벅스종로관수점,종로관수점,126.98865644043,37.569742784871,서울특별시 종로구 삼일대로20길 13,서울 종로,1,스타벅스
115,서울특별시,강남구,스타벅스,포이점,127.045116281379,37.4778100339866,서울특별시 강남구 논현로 88,서울 강남,1,스타벅스
116,서울특별시,강남구,스타벅스논현힐탑,논현힐탑점,127.032255003449,37.5115850987019,서울특별시 강남구 논현로 648,서울 강남,1,스타벅스
117,부산광역시,부산진구,스타벅스부산서면,부산서면점,129.061572243583,35.1541148726858,부산광역시 부산진구 중앙대로692번길 46-10,부산 부산진,1,스타벅스
118,서울특별시,강남구,스타벅스삼성도심공항점,삼성도심공항점,127.057908690998,37.5098191857712,서울특별시 강남구 테헤란로87길 33,서울 강남,1,스타벅스
119,부산광역시,부산진구,스타벅스,서면트레이더스점,129.05350264406601,35.1641186549401,부산광역시 부산진구 새싹로 81,부산 부산진,1,스타벅스
120,서울특별시,용산구,스타벅스,이태원입구점,126.98924122654199,37.5339943503067,서울특별시 용산구 이태원로 138-1,서울 용산,1,스타벅스
121,부산광역시,부산진구,스타벅스,서면서전로점,129.061929762609,35.1579787122775,부산광역시 부산진구 서전로 19,부산 부산진,1,스타벅스
122,서울특별시,광진구,스타벅스,군자역점,127.079012895356,37.5569305034381,서울특별시 광진구 천호대로 548,서울 광진,1,스타벅스
123,서울특별시,영등포구,스타벅스,여의도의사당점,126.92104776983601,37.530075143753294,서울특별시 영등포구 국회대로74길 12,서울 영등포,1,스타벅스
124,부산광역시,중구,스타벅스,광복중앙로점,129.031126982977,35.101916365280296,부산광역시 중구 광복중앙로 28-1,부산 중구,1,스타벅스
125,서울특별시,종로구,스타벅스종로2가점,종로2가점,126.98733102125799,37.570650485064796,서울특별시 종로구 삼일대로 403-1,서울 종로,1,스타벅스
126,서울특별시,강남구,스타벅스선정릉역점,선정릉역점,127.044549435311,37.5107751239617,서울특별시 강남구 봉은사로 407,서울 강남,1,스타벅스
127,서울특별시,강남구,스타벅스,학동역점,127.03074553868099,37.514600260375204,서울특별시 강남구 논현로 704,서울 강남,1,스타벅스
128,서울특별시,노원구,스타벅스,은행사거리점,127.07597743114201,37.6504980859283,서울특별시 노원구 중계로 217,서울 노원,1,스타벅스
129,서울특별시,강남구,스타벅스선릉로점,선릉로점,127.04671604196899,37.504953793129296,서울특별시 강남구 선릉로93길 22,서울 강남,1,스타벅스
130,서울특별시,중구,스타벅스명동역,명동역점,126.983083260827,37.5608556864363,서울특별시 중구 퇴계로 101,서울 중구,1,스타벅스
131,서울특별시,동작구,스타벅스,사당역점,126.98135149187901,37.4784758997485,서울특별시 동작구 동작대로 21,서울 동작,1,스타벅스
132,서울특별시,강남구,스타벅스,포스코점,127.057925714358,37.505764570423295,서울특별시 강남구 삼성로86길 7,서울 강남,1,스타벅스
133,서울특별시,강북구,스타벅스미아역점,미아역점,127.026557543462,37.626133124926,서울특별시 강북구 도봉로 196,서울 강북,1,스타벅스
134,서울특별시,금천구,스타벅스,마리오아울렛점,126.88506813730899,37.47843551394,서울특별시 금천구 벚꽃로 266,서울 금천,1,스타벅스
135,서울특별시,성북구,스타벅스,고대점,127.029688991151,37.58391819363,서울특별시 성북구 인촌로24길 51,서울 성북,1,스타벅스
