,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,이디야 매장수,브랜드명
1101,강원도,춘천시,이디야커피,-,127.75058370190901,37.8808085512144,강원도 춘천시 보안길 70-3,춘천,1,이디야
1102,경기도,수원시 영통구,이디야커피아주대점,아주대점,127.043490027178,37.2829666920919,경기도 수원시 영통구 월드컵로 206,수원 영통,1,이디야
1103,경기도,안산시 단원구,이디야커피선부중앙점,선부중앙점,126.81627310893299,37.3418606428783,경기도 안산시 단원구 선부로 191,안산 단원,1,이디야
1104,경기도,성남시 분당구,이디야커피,-,127.111492283445,37.3508800128896,경기도 성남시 분당구 성남대로172번길 24,성남 분당,1,이디야
1105,경기도,안산시 단원구,이디야커피,안산광덕대로점,126.83080811501199,37.3113329293362,경기도 안산시 단원구 광덕대로 168,안산 단원,1,이디야
1106,경기도,수원시 팔달구,이디야커피,성빈센트병원점,127.027440166173,37.2779159718294,경기도 수원시 팔달구 중부대로 93,수원 팔달,1,이디야
1107,경기도,수원시 권선구,이디야커피,이마트서수원점,126.970137925629,37.2826215528165,경기도 수원시 권선구 수인로 291,수원 권선,1,이디야
1108,경기도,여주시,이디야커피,여주중앙점,127.63589906197599,37.2959852833938,경기도 여주시 여흥로 111-1,여주,1,이디야
1109,경기도,부천시,이디야커피송내남부역점,송내남부역점,126.75277996749901,37.4863126559242,경기도 부천시 송내대로 31,부천,1,이디야
1110,강원도,강릉시,이디야커피,강릉교동점,128.87793521029698,37.76555118526871,강원도 강릉시 솔올로 39,강릉,1,이디야
1111,경기도,동두천시,이디야커피동두천중앙역점,동두천중앙역점,127.054355622307,37.9062150214914,경기도 동두천시 중앙로 278,동두천,1,이디야
1112,경기도,남양주시,이디야커피마석중앙점,마석중앙점,127.303187060518,37.6621416835976,경기도 남양주시 화도읍 비룡로 112,남양주,1,이디야
1113,경기도,파주시,이디야커피파주운정이마트점,파주운정이마트점,126.75274629024901,37.706088829398105,경기도 파주시 미래로310번길 140,파주,1,이디야
1114,경기도,용인시 수지구,이디야단대캠퍼스,-,127.124390611882,37.323916584609705,경기도 용인시 수지구 죽전로 150,용인 수지,1,이디야
1115,강원도,원주시,이디야커피,-,127.92989537389099,37.3691182941434,강원도 원주시 상지대길 83,원주,1,이디야
1116,경기도,시흥시,이디야커피,오이도점,126.690444805138,37.347400636204,경기도 시흥시 오이도중앙로 8-1,시흥,1,이디야
1117,경기도,시흥시,시흥이디야,-,126.79165422281,37.4469897611766,경기도 시흥시 복지로 90,시흥,1,이디야
1118,경기도,안산시 단원구,이디야-고잔이마트,-,126.812841950909,37.3031525784688,경기도 안산시 단원구 원포공원1로 46,안산 단원,1,이디야
1119,경기도,안양시 동안구,이디야커피,안양호계동점,126.955884639075,37.367378014783604,경기도 안양시 동안구 엘에스로 34,안양 동안,1,이디야
1120,경기도,부천시,이디야커피,일반음식점,126.803385273678,37.4725095353806,경기도 부천시 소사동로72번길 17,부천,1,이디야
1121,경기도,구리시,이디야커피,구리돌다리점,127.14118166485201,37.6005053350299,경기도 구리시 검배로 4,구리,1,이디야
1122,경기도,수원시 팔달구,이디야커피,수원인계점,127.031929787041,37.262814470291296,경기도 수원시 팔달구 권광로 169,수원 팔달,1,이디야
1123,경기도,수원시 팔달구,이디야수원역,-,127.000501474577,37.2676624847467,경기도 수원시 팔달구 덕영대로 907,수원 팔달,1,이디야
1124,경기도,고양시 일산서구,이디야커피전문일산시장점,일산시장점,126.770167273761,37.6867560537916,경기도 고양시 일산서구 원일로 69,고양 일산서,1,이디야
1125,경기도,부천시,이디야커피,부천심곡점,126.784572804594,37.4913924955137,경기도 부천시 부천로 80,부천,1,이디야
1126,경기도,하남시,이디야커피,하남시청점,127.213906127743,37.5405692894685,경기도 하남시 대청로 15,하남,1,이디야
1127,경기도,의정부시,이디야커피,민락2지구점,127.099034496486,37.7455008287256,경기도 의정부시 오목로 215,의정부,1,이디야
1128,경기도,성남시 수정구,이디야커피,태평역점,127.128991500221,37.4403249310461,경기도 성남시 수정구 수정로73번길 6-6,성남 수정,1,이디야
1129,경기도,시흥시,이디야커피,시흥거모점,126.785169277111,37.34260856848979,경기도 시흥시 도일로112번안길 21-2,시흥,1,이디야
1130,경기도,용인시 기흥구,이디야커피,-,127.15347439370701,37.2780102902334,경기도 용인시 기흥구 동백중앙로 283,용인 기흥,1,이디야
1131,경기도,수원시 장안구,이디야커피,수원정자점,126.994274532917,37.2958767855175,경기도 수원시 장안구 정자천로173번길 11-6,수원 장안,1,이디야
1132,경기도,성남시 수정구,이디야커피,-,127.137184983212,37.442250242823796,경기도 성남시 수정구 수정로 154,성남 수정,1,이디야
1133,경기도,고양시 일산동구,이디야커피,일산풍동점,126.80029198986,37.66771266691049,경기도 고양시 일산동구 숲속마을1로 76,고양 일산동,1,이디야
1134,경기도,안산시 단원구,이디야커피,안산중앙역점,126.838680757235,37.3143659563463,경기도 안산시 단원구 광덕4로 234,안산 단원,1,이디야
1135,경기도,이천시,이디야커피,-,127.49030853118201,37.2521043112614,경기도 이천시 부발읍 경충대로 2096-4,이천,1,이디야
1136,경기도,과천시,이디야커피,과천중앙점,126.992027248179,37.4277477125647,경기도 과천시 별양상가로 2,과천,1,이디야
1137,경기도,시흥시,이디야커피,시흥시화점,126.723510729519,37.3542406474562,경기도 시흥시 정왕대로 64,시흥,1,이디야
